word,phonetic_spelling,phonemes
else,els,EH  L S
elsewhere,ELS-wair,EH  L S W EH  R
email,EE-mayl,IY  M EY  L
embarrassed,em-BAR-uhst,IH  M B EH  R AH  S T
embarrassing,em-BAR-uh-sing,IH  M B EH  R AH  S IH  NG
emerge,ih-MURJ,IH  M ER  JH
emergency,ih-MUR-juhn-see,IH  M ER  JH AH  N S IY
emotion,ih-MOH-shun,IH  M OW  SH AH  N
emotional,ih-MOH-shuh-nuhl,IH  M OW  SH AH  N AH  L
emphasis,EM-fuh-sis,EH  M F AH  S AH  S
emphasize,EM-fuh-syz,EH  M F AH  S AY  Z
employ,im-PLOY,EH  M P L OY
employee,em-PLOY-ee,EH  M P L OY  IY
employer,im-PLOY-er,EH  M P L OY  ER
employment,im-PLOY-muhnt,EH  M P L OY  M AH  N T
empty,EMP-tee,EH  M P T IY
enable,ih-NAY-buhl,EH  N EY  B AH  L
encounter,en-KOWN-ter,IH  N K AW  N T ER
encourage,en-KUR-ij,EH  N K ER  IH  JH
end,end,EH  N D
ending,END-ing,EH  N D IH  NG
enemy,EN-uh-mee,EH  N AH  M IY
energy,EN-er-jee,EH  N ER  JH IY
engage,en-GAYJ,EH  N G EY  JH
engaged,en-GAYJD,EH  N G EY  JH D
engine,EN-jin,EH  N JH AH  N
engineer,en-juh-NEER,EH  N JH AH  N IH  R
engineering,en-juh-NEER-ing,EH  N JH AH  N IH  R IH  NG
enhance,en-HANS,EH  N HH AE  N S
enjoy,en-JOY,EH  N JH OY
enormous,ih-NOR-muhs,IH  N AO  R M AH  S
enough,ih-NUF,IH  N AH  F
ensure,en-SHUR,EH  N SH UH  R
enter,EN-ter,EH  N T ER
entertain,en-ter-TAYN,EH  N T ER  T EY  N
entertainment,en-ter-TAYN-muhnt,EH  N T ER  T EY  N M AH  N T
enthusiasm,en-THOO-zee-az-uhm,IH  N TH UW  Z IY  AE  Z AH  M
enthusiastic,en-thoo-zee-AS-tik,IH  N TH UW  Z IY  AE  S T IH  K
entire,en-TYR,IH  N T AY  ER
entirely,en-TYR-lee,IH  N T AY  ER  L IY
entrance,EN-truhns,EH  N T R AH  N S
entry,EN-tree,EH  N T R IY
environment,en-VY-run-muhnt,IH  N V AY  R AH  N M AH  N T
environmental,en-vy-run-MEN-tuhl,IH  N V AY  R AH  N M EH  N T AH  L
episode,EP-ih-sohd,EH  P AH  S OW  D
equal,EE-kwuhl,IY  K W AH  L
equally,EE-kwuh-lee,IY  K W AH  L IY
equipment,ih-KWIP-muhnt,IH  K W IH  P M AH  N T
error,ER-er,EH  R ER
escape,ih-SKAYP,IH  S K EY  P
especially,eh-SPESH-uh-lee,AH  S P EH  SH L IY
essay,ES-ay,EH  S EY
essential,ih-SEN-shuhl,IH  S EH  N SH AH  L
establish,ih-STAB-lish,IH  S T AE  B L IH  SH
estate,ih-STAYT,IH  S T EY  T
estimate,ES-tuh-mayt (verb) / ES-tuh-mit (noun),EH  S T AH  M AH  T
ethical,ETH-ih-kuhl,EH  TH AH  K AH  L
euro,YUR-oh,Y UW  R OW
evaluate,ih-VAL-yoo-ayt,IH  V AE  L Y UW  EY  T
even,EE-vuhn,IY  V IH  N
evening,EE-vuh-ning,IY  V N IH  NG
event,ih-VENT,IH  V EH  N T
eventually,ih-VEN-chuh-lee,IH  V EH  N CH AH  W AH  L IY
ever,EV-er,EH  V ER
every,EV-ree,EH  V ER  IY
everybody,EV-ree-bah-dee,EH  V R IY  B AA  D IY
everyday,EV-ree-day,EH  V R IY  D EY
everyone,EV-ree-wuhn,EH  V R IY  W AH  N
everything,EV-ree-thing,EH  V R IY  TH IH  NG
everywhere,EV-ree-wair,EH  V R IY  W EH  R
evidence,EV-uh-dents,EH  V AH  D AH  N S
evil,EE-vuhl,IY  V AH  L
exact,ig-ZAKT,IH  G Z AE  K T
exactly,ig-ZAKT-lee,IH  G Z AE  K T L IY
exam,ig-ZAM,IH  G Z AE  M
examination,ig-zam-uh-NAY-shun,IH  G Z AE  M AH  N EY  SH AH  N
examine,ig-ZAM-in,IH  G Z AE  M IH  N
example,ig-ZAM-puhl,IH  G Z AE  M P AH  L
excellent,EK-suh-luhnt,EH  K S AH  L AH  N T
except,ik-SEPT,IH  K S EH  P T
exchange,iks-CHAYNJ,IH  K S CH EY  N JH
excited,ik-SY-tid,IH  K S AY  T AH  D
excitement,ik-SYT-muhnt,IH  K S AY  T M AH  N T
exciting,ik-SYT-ing,IH  K S AY  T IH  NG
excuse,ik-SKYOOS (noun) / ik-SKYOOS (verb),IH  K S K Y UW  S
executive,ig-ZEK-yoo-tiv,IH  G Z EH  K Y AH  T IH  V
exercise,EK-ser-syz,EH  K S ER  S AY  Z
exhibit,ig-ZIB-it,IH  G Z IH  B IH  T
exhibition,ek-suh-BISH-uhn,EH  K S AH  B IH  SH AH  N
exist,ig-ZIST,IH  G Z IH  S T
existence,ig-ZIS-tuhns,EH  G Z IH  S T AH  N S
exit,EG-zit or EK-sit,EH  G Z IH  T
expand,ik-SPAND,IH  K S P AE  N D
expect,ik-SPEKT,IH  K S P EH  K T
expectation,ek-spek-TAY-shuhn,EH  K S P EH  K T EY  SH AH  N
expected,ik-SPEK-tid,IH  K S P EH  K T AH  D
expense,ik-SPENS,IH  K S P EH  N S
expensive,ik-SPEN-siv,IH  K S P EH  N S IH  V
experience,iks-PEER-ee-uhns,IH  K S P IH  R IY  AH  N S
experienced,iks-PEER-ee-uhnst,IH  K S P IH  R IY  AH  N S T
experiment,iks-PER-uh-muhnt (noun) / iks-PER-uh-ment (verb),IH  K S P EH  R AH  M AH  N T
expert,EK-spurt,EH  K S P ER  T
explain,iks-PLAYN,IH  K S P L EY  N
explanation,eks-pluh-NAY-shun,EH  K S P L AH  N EY  SH AH  N
explode,iks-PLOHD,IH  K S P L OW  D
exploration,eks-pluh-RAY-shun,EH  K S P L ER  EY  SH AH  N
explore,iks-PLOR,IH  K S P L AO  R
explosion,iks-PLOH-zhuhn,IH  K S P L OW  ZH AH  N
export,EK-sport (noun) / iks-PORT (verb),EH  K S P AO  R T
expose,iks-POHZ,IH  K S P OW  Z
express,iks-PRES,IH  K S P R EH  S
expression,iks-PRESH-uhn,IH  K S P R EH  SH AH  N
extend,iks-TEND,IH  K S T EH  N D
extent,iks-TENT,IH  K S T EH  N T
external,iks-TURN-uhl,IH  K S T ER  N AH  L
extra,EK-struh,EH  K S T R AH
extraordinary,iks-TRAW-ruh-din-er-ee,IH  K S T R AO  R D AH  N EH  R IY
extreme,iks-TREEM,IH  K S T R IY  M
extremely,iks-TREEM-lee,IH  K S T R IY  M L IY
eye,EYE,AY
face,fays,F EY  S
facility,fuh-SIL-uh-tee,F AH  S IH  L IH  T IY
fact,fakt,F AE  K T
factor,FAK-ter,F AE  K T ER
factory,FAK-tuh-ree,F AE  K T ER  IY
fail,fayl,F EY  L
failure,FAYL-yer,F EY  L Y ER
fair,fair,F EH  R
fairly,FAIR-lee,F EH  R L IY
faith,fayth,F EY  TH
fall,fawl,F AO  L
false,fawls,F AO  L S
familiar,fuh-MIL-yer,F AH  M IH  L Y ER
family,FAM-uh-lee,F AE  M AH  L IY
famous,FAY-muhs,F EY  M AH  S
fan,fan,F AE  N
fancy,FAN-see,F AE  N S IY
fantastic,fan-TAS-tik,F AE  N T AE  S T IH  K
far,far,F AA  R
farm,farm,F AA  R M
farmer,FAR-mer,F AA  R M ER
farming,FAR-ming,F AA  R M IH  NG
fascinating,FAS-uh-nay-ting,F AE  S AH  N EY  T IH  NG
fashion,FASH-uhn,F AE  SH AH  N
fashionable,FASH-uhn-uh-buhl,F AE  SH AH  N AH  B AH  L
fast,fast,F AE  S T
fasten,FAS-uhn,F AE  S AH  N
fat,fat,F AE  T
father,FAH-thur,F AA  DH ER
fault,fawlt,F AO  L T
favor,FAY-ver,F EY  V ER
favorite,FAY-vrit,F EY  V ER  IH  T
fear,feer,F IH  R
feather,FETH-er,F EH  DH ER
feature,FEE-chur,F IY  CH ER
February,FEB-roo-air-ee,F EH  B Y AH  W EH  R IY
federal,FED-er-uhl,F EH  D ER  AH  L
fee,fee,F IY
feed,feed,F IY  D
feedback,FEED-bak,F IY  D B AE  K
feel,feel,F IY  L
feeling,FEEL-ing,F IY  L IH  NG
fellow,FEL-oh,F EH  L OW
female,FEE-mayl,F IY  M EY  L
fence,fens,F EH  N S
festival,FES-tuh-vuhl,F EH  S T AH  V AH  L
fever,FEE-ver,F IY  V ER
few,fyoo,F Y UW
fiction,FIK-shun,F IH  K SH AH  N
field,feeld,F IY  L D
fifteen,fif-TEEN,F IH  F T IY  N
fifth,fifth,F IH  F TH
fifty,FIF-tee,F IH  F T IY
fight,fyt,F AY  T
fighting,FY-ting,F AY  T IH  NG
figure,FIG-yer,F IH  G Y ER
file,fyle,F AY  L
fill,fil,F IH  L
film,film,F IH  L M
final,FY-nuhl,F AY  N AH  L
finally,FY-nuh-lee,F AY  N AH  L IY
finance,FY-nans or fih-NANS,F AH  N AE  N S
financial,fy-NAN-shul,F AH  N AE  N SH AH  L
find,fynd,F AY  N D
finding,FY-nding,F AY  N D IH  NG
fine,fyn,F AY  N
finger,FING-ger,F IH  NG G ER
finish,FIN-ish,F IH  N IH  SH
fire,fyr,F AY  ER
firm,ferm,F ER  M
first,ferst,F ER  S T
fish,fish,F IH  SH
fishing,FISH-ing,F IH  SH IH  NG
fit,fit,F IH  T
fitness,FIT-nis,F IH  T N AH  S
five,fyyv,F AY  V
fix,fiks,F IH  K S
fixed,fikst,F IH  K S T
flag,flag,F L AE  G
flame,flaym,F L EY  M
flash,flash,F L AE  SH
flat,flat,F L AE  T
flexible,FLEK-suh-buhl,F L EH  K S AH  B AH  L
flight,flyt,F L AY  T
float,floht,F L OW  T
flood,fluhd,F L AH  D
floor,flohr,F L AO  R
flour,flow-er,F L AW  ER
flow,floh,F L OW
flower,FLOW-er,F L AW  ER
flu,floo,F L UW
fly,fly,F L AY
flying,FLY-ing,F L AY  IH  NG
focus,FOH-kus,F OW  K AH  S
fold,fohld,F OW  L D
folding,FOHLD-ing,F OW  L D IH  NG
folk,fohk,F OW  K
follow,FOL-oh,F AA  L OW
following,FOL-oh-ing,F AA  L OW  IH  NG
food,food,F UW  D
foot,foot,F UH  T
football,FOOT-bawl,F UH  T B AO  L
for,for,F AO  R
force,fors,F AO  R S
foreign,FOR-in,F AO  R AH  N
forest,FOR-ist,F AO  R AH  S T
forever,for-EV-er,F ER  EH  V ER
forget,for-GET,F ER  G EH  T
forgive,for-GIV,F ER  G IH  V
fork,fork,F AO  R K
form,form,F AO  R M
formal,FOR-muhl,F AO  R M AH  L
former,FOR-mer,F AO  R M ER
fortunately,FOR-chuh-nit-lee,F AO  R CH AH  N AH  T L IY
fortune,FOR-chuhn,F AO  R CH AH  N
forty,FOR-tee,F AO  R T IY
forward,FOR-werd,F AO  R W ER  D
found,fownd,F AW  N D
four,for,F AO  R
fourteen,for-TEEN,F AO  R T IY  N
fourth,forth,F AO  R TH
frame,fraym,F R EY  M
free,free,F R IY
freedom,FREE-dum,F R IY  D AH  M
freeze,freez,F R IY  Z
frequency,FREE-kwuhn-see,F R IY  K W AH  N S IY
frequently,FREE-kwuhnt-lee,F R IY  K W AH  N T L IY
fresh,fresh,F R EH  SH
Friday,FRY-day,F R AY  D IY
friend,frend,F R EH  N D
friendly,FREN-lee,F R EH  N D L IY
friendship,FREN-ship,F R EH  N D SH IH  P
frighten,FRY-tuhn,F R AY  T AH  N
frightened,FRY-tuhnd,F R AY  T AH  N D
frightening,FRY-tuhn-ing,F R AY  T AH  N IH  NG
frog,frog,F R AA  G
from,fruhm,F R AH  M
front,fruhnt,F R AH  N T
frozen,FROH-zuhn,F R OW  Z AH  N
fruit,froot,F R UW  T
fry,fry,F R AY
fuel,FYOO-uhl,F Y UW  AH  L
full,fool,F UH  L
fully,FOO-lee,F UH  L IY
fun,fun,F AH  N
function,FUNGK-shun,F AH  NG K SH AH  N
fund,fund,F AH  N D
fundamental,fun-duh-MEN-tuhl,F AH  N D AH  M EH  N T AH  L
funding,FUN-ding,F AH  N D IH  NG
funny,FUN-nee,F AH  N IY
fur,fer,F ER
furniture,FER-ni-cher,F ER  N IH  CH ER
further,FER-thur,F ER  DH ER
furthermore,FER-thur-mor,F ER  DH ER  M AO  R
future,FYOO-cher,F Y UW  CH ER
G,,JH IY
gain,gayn,G EY  N
gallery,GAL-uh-ree,G AE  L ER  IY
game,gaym,G EY  M
gang,gang,G AE  NG
gap,gap,G AE  P
garage,guh-RAHZH or GARE-ij,G ER  AA  ZH
garbage,GAR-bij,G AA  R B IH  JH
garden,GAR-dn,G AA  R D AH  N
gas,gas,G AE  S
gate,gayt,G EY  T
gather,GATH-er,G AE  DH ER
general,JEN-er-uhl,JH EH  N ER  AH  L
generally,JEN-er-uh-lee,JH EH  N ER  AH  L IY
generate,JEN-uh-rayt,JH EH  N ER  EY  T
generation,jen-uh-RAY-shun,JH EH  N ER  EY  SH AH  N
generous,JEN-er-uhs,JH EH  N ER  AH  S
genre,ZHAHN-ruh,ZH AA  N R AH
gentle,JEN-tl,JH EH  N T AH  L
gentleman,JEN-tl-muhn,JH EH  N T AH  L M AH  N
geography,jee-OG-ruh-fee,JH IY  AA  G R AH  F IY
get,get,G EH  T
ghost,gohst,G OW  S T
giant,JY-uhnt,JH AY  AH  N T
gift,gift,G IH  F T
girl,gurl,G ER  L
girlfriend,GURL-frend,G ER  L F R EH  N D
give,giv,G IH  V
glad,glad,G L AE  D
glass,glas,G L AE  S
global,GLOH-buhl,G L OW  B AH  L
glove,gluhv,G L AH  V
go,goh,G OW
goal,gohl,G OW  L
god,god,G AA  D
gold,gohld,G OW  L D
golf,golf,G AA  L F
good,good,G UH  D
goodbye,good-BYE,G UH  D B AY
goods,gudz,G UH  D Z
govern,GUH-vurn,G AH  V ER  N
government,GUH-vurn-muhnt,G AH  V ER  M AH  N T
governor,GUH-vur-nur,G AH  V ER  N ER
grab,grab,G R AE  B
grade,grayd,G R EY  D
gradually,GRAD-joo-uh-lee,G R AE  JH UW  AH  L IY
graduate,GRAJ-oo-it (noun) / GRAJ-oo-ayt (verb),G R AE  JH AH  W AH  T
grain,grayn,G R EY  N
grand,grand,G R AE  N D
grandfather,GRAND-fah-thur,G R AE  N D F AA  DH ER
grandmother,GRAND-muhth-er,G R AE  N D M AH  DH ER
grandparent,GRAND-pair-uhnt,G R AE  N D P EH  R AH  N T
grant,grant,G R AE  N T
grass,gras,G R AE  S
grateful,GRAYT-fuhl,G R EY  T F AH  L
gray,gray,G R EY
great,grayt,G R EY  T
green,green,G R IY  N
greet,greet,G R IY  T
grocery,GROH-suh-ree or GROH-sree,G R OW  S ER  IY
ground,grownd,G R AW  N D
group,groop,G R UW  P
grow,groh,G R OW
growth,grohth,G R OW  TH
guarantee,gar-uhn-TEE,G EH  R AH  N T IY
guard,gard,G AA  R D
guess,ges,G EH  S
guest,gest,G EH  S T
guide,gyd,G AY  D
guilty,GIL-tee,G IH  L T IY
guitar,gi-TAHR,G IH  T AA  R
gun,gun,G AH  N
guy,guy,G AY
gym,jim,JH IH  M
habit,HAB-it,HH AE  B AH  T
hair,hair,HH EH  R
half,haf,HH AE  F
hall,hawl,HH AO  L
hand,hand,HH AE  N D
handle,HAN-dl,HH AE  N D AH  L
hang,hang,HH AE  NG
happen,HAP-uhn,HH AE  P AH  N
happily,HAP-uh-lee,HH AE  P AH  L IY
happiness,HAP-uh-ness,HH AE  P IY  N AH  S
happy,HAP-ee,HH AE  P IY
hard,hard,HH AA  R D
hardly,HARD-lee,HH AA  R D L IY
harm,harm,HH AA  R M
harmful,HARM-fuhl,HH AA  R M F AH  L
hat,hat,HH AE  T
hate,hayt,HH EY  T
have,hav,HH AE  V
auxiliary,awg-ZIL-uh-ree,AA  G Z IH  L Y ER  IY
he,hee,HH IY
head,hed,HH EH  D
headache,HEAD-ayk,HH EH  D EY  K
headline,HEAD-lyn,HH EH  D L AY  N
health,helth,HH EH  L TH
healthy,HEL-thee,HH EH  L TH IY
hear,heer,HH IH  R
hearing,HEER-ing,HH IH  R IH  NG
heart,hart,HH AA  R T
heat,heet,HH IY  T
heating,HEET-ing,HH IY  T IH  NG
heaven,HEV-uhn,HH EH  V AH  N
heavily,HEV-uh-lee,HH EH  V AH  L IY
heavy,HEV-ee,HH EH  V IY
heel,heel,HH IY  L
height,hyt,HH AY  T
helicopter,HEL-i-kop-ter,HH EH  L IH  K AA  P T ER
hell,hel,HH EH  L
hello,heh-LOH,HH AH  L OW
help,help,HH EH  L P
helpful,HELP-fuhl,HH EH  L P F AH  L
her,her,HH ER
here,heer,HH IH  R
hero,HEER-oh,HH IH  R OW
hers,hurz,HH ER  Z
herself,hur-SELF,HH ER  S EH  L F
hesitate,HEZ-i-tayt,HH EH  Z AH  T EY  T
hey,hey,HH EY
hi,hy,HH AY
hide,hyyd,HH AY  D
high,hyy,HH AY
highlight,HYE-lahyt,HH AY  L AY  T
highly,HYE-lee,HH AY  L IY
highway,HYE-way,HH AY  W EY
hill,hil,HH IH  L
him,him,HH IH  M
himself,him-SELF,HH IH  M S EH  L F
hire,hyr,HH AY  ER
his,hiz,HH IH  Z
historic,his-TOR-ik,HH IH  S T AO  R IH  K
historical,his-TOR-i-kul,HH IH  S T AO  R IH  K AH  L
history,HIS-tuh-ree,HH IH  S T ER  IY
hit,hit,HH IH  T
hobby,HOB-ee,HH AA  B IY
hockey,HOK-ee,HH AA  K IY
hold,hohld,HH OW  L D
hole,hohl,HH OW  L
holiday,HOL-i-day,HH AA  L AH  D EY
hollow,HOL-oh,HH AA  L OW
holy,HOH-lee,HH OW  L IY
home,hohm,HH OW  M
homework,HOHM-wurk,HH OW  M W ER  K
honest,AH-nist,AA  N AH  S T
honor,AH-nur,AA  N ER
hope,hohp,HH OW  P
horrible,HOR-uh-buhl,HH AO  R AH  B AH  L
horror,HOR-ur,HH AO  R ER
horse,hawrs,HH AO  R S
hospital,HOS-pi-tl,HH AA  S P IH  T AH  L
host,hohst,HH OW  S T
hot,hot,HH AA  T
hotel,hoh-TEL,HH OW  T EH  L
hour,our,AW  ER
house,hows,HH AW  S
household,HOWS-hohld,HH AW  S HH OW  L D
housing,HOWS-ing,HH AW  Z IH  NG
how,how,HH AW
however,how-EV-er,HH AW  EH  V ER
huge,hyooj,HH Y UW  JH
human,HYOO-muhn,HH Y UW  M AH  N
humor,HYOO-mur,HH Y UW  M ER
humorous,HYOO-mur-uhs,HH Y UW  M ER  AH  S
hundred,HUN-dred,HH AH  N D R AH  D
hungry,HUNG-ree,HH AH  NG G R IY
hunt,hunt,HH AH  N T
hunting,HUNT-ing,HH AH  N T IH  NG
hurricane,HUR-i-kayn,HH ER  AH  K EY  N
hurry,HUR-ee,HH ER  IY
hurt,hurt,HH ER  T
husband,HUZ-buhnd,HH AH  Z B AH  N D
I,eye,AY
ice,eys,AY  S
idea,ahy-DEE-uh,AY  D IY  AH
ideal,ahy-DEE-uhl,AY  D IY  L
identify,ahy-DEN-tuh-fy,AY  D EH  N T AH  F AY
identity,ahy-DEN-tuh-tee,AY  D EH  N T AH  T IY
if,if,IH  F
ignore,ig-NOHR,IH  G N AO  R
ill,il,IH  L
illegal,il-LEE-guhl,IH  L IY  G AH  L
illness,IL-nes,IH  L N AH  S
illustrate,IL-uh-strayt,IH  L AH  S T R EY  T
illustration,IL-uh-STRAY-shun,IH  L AH  S T R EY  SH AH  N
image,IM-ij,IH  M AH  JH
imaginary,im-AG-uh-ner-ee,IH  M AE  JH AH  N EH  R IY
imagination,im-AG-uh-NAY-shun,IH  M AE  JH AH  N EY  SH AH  N
imagine,im-AG-in,IH  M AE  JH AH  N
immediate,im-MEE-dee-uht,IH  M IY  D IY  AH  T
immediately,im-MEE-dee-uht-lee,IH  M IY  D IY  AH  T L IY
immigrant,IM-uh-gruhnt,IH  M AH  G R AH  N T
impact,IM-pakt,IH  M P AE  K T
impatient,im-PAY-shuhnt,IH  M P EY  SH AH  N T
imply,im-PLY,IH  M P L AY
import,IM-port,IH  M P AO  R T
importance,im-PORT-uhns,IH  M P AO  R T AH  N S
important,im-PORT-uhnt,IH  M P AO  R T AH  N T
impose,im-POHZ,IH  M P OW  Z
impossible,im-PAH-suh-buhl,IH  M P AA  S AH  B AH  L
impress,im-PRES,IH  M P R EH  S
impressed,im-PREST,IH  M P R EH  S T
impression,im-PRESH-uhn,IH  M P R EH  SH AH  N
impressive,im-PRES-iv,IH  M P R EH  S IH  V
improve,im-PROOV,IH  M P R UW  V
improvement,im-PROOV-muhnt,IH  M P R UW  V M AH  N T
in,in,IH  N
inch,inch,IH  N CH
incident,IN-suh-dent,IH  N S AH  D AH  N T
include,in-KLOOD,IH  N K L UW  D
included,in-KLOOD-id,IH  N K L UW  D AH  D
including,in-KLOO-ding,IH  N K L UW  D IH  NG
income,IN-kuhm,IH  N K AH  M
increase,in-KREES,IH  N K R IY  S
increasingly,in-KREES-ing-lee,IH  N K R IY  S IH  NG L IY
incredible,in-KRED-uh-buhl,IH  N K R EH  D AH  B AH  L
incredibly,in-KRED-uh-blee,IH  N K R EH  D AH  B L IY
indeed,in-DEED,IH  N D IY  D
independent,in-deh-PEN-duhnt,IH  N D IH  P EH  N D AH  N T
indicate,IN-di-kayt,IH  N D AH  K EY  T
indirect,in-di-REKT,IH  N D ER  EH  K T
individual,in-di-VID-yoo-uhl,IH  N D AH  V IH  JH AH  W AH  L
indoor,IN-dor,IH  N D AO  R
indoors,in-DOORZ,IH  N D AO  R Z
industrial,in-DUHS-tree-uhl,IH  N D AH  S T R IY  AH  L
industry,IN-duh-stree,IH  N D AH  S T R IY
infection,in-FEK-shun,IH  N F EH  K SH AH  N
influence,IN-floo-uhns,IH  N F L UW  AH  N S
inform,in-FORM,IH  N F AO  R M
informal,in-FORM-uhl,IH  N F AO  R M AH  L
information,in-fuh-MAY-shun,IH  N F ER  M EY  SH AH  N
ingredient,in-GREE-dee-uhnt,IH  N G R IY  D IY  AH  N T
initial,ih-NISH-uhl,IH  N IH  SH AH  L
initially,ih-NISH-uh-lee,IH  N IH  SH AH  L IY
initiative,ih-NISH-uh-tiv,IH  N IH  SH AH  T IH  V
injure,IN-jur,IH  N JH ER
injured,IN-jurd,IH  N JH ER  D
injury,IN-juh-ree,IH  N JH ER  IY
inner,IN-ur,IH  N ER
innocent,IN-uh-suhnt,IH  N AH  S AH  N T
inquiry,IN-kwuh-ree,IH  N K W AY  R IY
insect,IN-sekt,IH  N S EH  K T
inside,in-SYD,IH  N S AY  D
insight,IN-syt,IH  N S AY  T
insist,in-SIST,IH  N S IH  S T
inspire,in-SPYR,IH  N S P AY  R
install,in-STALL,IH  N S T AO  L
instance,IN-stuhns,IH  N S T AH  N S
instead,in-STEHD,IH  N S T EH  D
institute,IN-sti-toot,IH  N S T AH  T UW  T
institution,in-sti-TOO-shun,IH  N S T IH  T UW  SH AH  N
instruction,in-STRUHK-shun,IH  N S T R AH  K SH AH  N
instructor,in-STRUHK-tur,IH  N S T R AH  K T ER
instrument,IN-struh-muhnt,IH  N S T R AH  M AH  N T
insurance,in-SHUR-uhns,IH  N SH UH  R AH  N S
intelligence,in-TEL-i-juhns,IH  N T EH  L AH  JH AH  N S
intelligent,in-TEL-i-juhnt,IH  N T EH  L AH  JH AH  N T
intend,in-TEND,IH  N T EH  N D
intended,in-TEND-id,IH  N T EH  N D AH  D
intense,in-TENS,IH  N T EH  N S
intention,in-TEN-shun,IH  N T EH  N CH AH  N
interest,IN-truhst,IH  N T R AH  S T
interested,IN-truhs-tid,IH  N T R AH  S T AH  D
interesting,IN-truhs-ting,IH  N T R AH  S T IH  NG
internal,in-TUR-nl,IH  N T ER  N AH  L
international,in-ter-NASH-uh-nuhl,IH  N T ER  N AE  SH AH  N AH  L
internet,IN-ter-net,IH  N T ER  N EH  T
interpret,in-TUR-prit,IH  N T ER  P R AH  T
interrupt,in-ter-RUPT,IH  N T ER  AH  P T
interview,IN-ter-vyu,IH  N T ER  V Y UW
into,IN-too,IH  N T UW
introduce,in-truh-DOOS,IH  N T R AH  D UW  S
introduction,in-truh-DUHK-shun,IH  N T R AH  D AH  K SH AH  N
invent,in-VENT,IH  N V EH  N T
invention,in-VEN-shun,IH  N V EH  N SH AH  N
invest,in-VEST,IH  N V EH  S T
investigate,in-VES-ti-gayt,IH  N V EH  S T AH  G EY  T
investigation,in-ves-ti-GAY-shun,IH  N V EH  S T AH  G EY  SH AH  N
investment,in-VESt-muhnt,IH  N V EH  S T M AH  N T
invitation,in-vi-TAY-shun,IH  N V IH  T EY  SH AH  N
invite,in-VYT,IH  N V AY  T
involve,in-VOLV,IH  N V AA  L V
involved,in-VOLVD,IH  N V AA  L V D
iron,I-urn,AY  ER  N
island,AHY-land,AY  L AH  N D
issue,ISH-oo,IH  SH UW
IT,I-T,IH  T
it,it,IH  T
item,I-tuhm,AY  T AH  M
its,its,IH  T S
itself,it-SELF,IH  T S EH  L F
jacket,JAK-it,JH AE  K AH  T
jam,jam,JH AE  M
January,JAN-yoo-er-ee,JH AE  N Y UW  EH  R IY
jazz,jaz,JH AE  Z
jeans,jeenz,JH IY  N Z
jewelry,JOO-uh-ree,JH UW  AH  L R IY
job,job,JH AA  B
join,joyn,JH OY  N
joke,johk,JH OW  K
journal,JUR-nl,JH ER  N AH  L
journalist,JUR-nuh-list,JH ER  N AH  L AH  S T
journey,JUR-nee,JH ER  N IY
joy,joy,JH OY
judge,juhj,JH AH  JH
judgment,JUJ-muhnt,JH AH  JH M AH  N T
juice,joos,JH UW  S
July,joo-LY,JH UW  L AY
jump,juhmp,JH AH  M P
June,joon,JH UW  N
junior,JOO-nyur,JH UW  N Y ER
just,juhst,JH AH  S T
justice,JUS-tis,JH AH  S T AH  S
justify,JUS-ti-fy,JH AH  S T AH  F AY
keep,keep,K IY  P
key,kee,K IY
keyboard,KEE-bawrd,K IY  B AO  R D
kick,kik,K IH  K
kid,kid,K IH  D
kill,kil,K IH  L
killing,KIL-ing,K IH  L IH  NG
kilometer,ki-LOM-i-ter,K AH  L AA  M AH  T ER
king,king,K IH  NG
kiss,kis,K IH  S
kitchen,KICH-uhn,K IH  CH AH  N
knee,nee,N IY
knife,nahyf,N AY  F
knock,nok,N AA  K
know,noh,N OW
knowledge,NOL-ij,N AA  L AH  JH
lab,lab,L AE  B
label,LAY-buhl,L EY  B AH  L
labor,LAY-bur,L EY  B ER
laboratory,LAB-uh-RAH-tor-ee,L AE  B R AH  T AO  R IY
lack,lak,L AE  K
lady,LAY-dee,L EY  D IY
lake,layk,L EY  K
lamp,lamp,L AE  M P
land,land,L AE  N D
landscape,LAND-skayp,L AE  N D S K EY  P
language,LANG-gwij,L AE  NG G W AH  JH
laptop,LAP-top,L AE  P T AA  P
large,lahrj,L AA  R JH
largely,LAHRJ-lee,L AA  R JH L IY
late,layt,L EY  T
later,LAY-tur,L EY  T ER
latest,LAY-tist,L EY  T AH  S T
laugh,laf,L AE  F
laughter,LAFF-tur,L AE  F T ER
launch,lawnch,L AO  N CH
law,law,L AO
lawyer,LOY-ur,L AO  Y ER
lay,lay,L EY
layer,LAY-er,L EY  ER
lazy,LAY-zee,L EY  Z IY
lead,leed,L EH  D
leader,LEE-dur,L IY  D ER
leadership,LEE-dur-ship,L IY  D ER  SH IH  P
leading,LEE-ding,L IY  D IH  NG
leaf,leef,L IY  F
league,leeg,L IY  G
lean,leen,L IY  N
learn,lern,L ER  N
learning,LURN-ing,L ER  N IH  NG
least,leest,L IY  S T
leather,LETH-ur,L EH  DH ER
leave,leev,L IY  V
lecture,LEK-chur,L EH  K CH ER
left,left,L EH  F T
leg,leg,L EH  G
legal,LEE-guhl,L IY  G AH  L
leisure,LEE-zher,L EH  ZH ER
lemon,LEM-uhn,L EH  M AH  N
